,,,,,,,,,,,
0.041,0.039,0.052,0.04,0.039,0.039,0.041,0.048,0.039,0.039,0.043,0.042
0.04,0.04,0.053,0.04,0.039,0.041,0.039,0.04,0.039,0.049,0.039,0.045
,,,,,,,,,,,
0.047,0.04,0.048,0.059,0.05,0.058,0.06,0.046,0.054,0.044,0.075,0.054
0.044,0.059,0.039,0.04,0.041,0.064,0.059,0.06,0.07,0.07,0.042,0.052
0.039,0.04,0.043,0.039,0.041,0.042,0.041,0.038,0.041,0.036,0.042,0.044
0.04,0.047,0.04,0.037,0.04,0.043,0.038,0.04,0.041,0.043,0.041,0.036
0.048,0.046,0.046,0.037,0.045,0.038,0.04,0.035,0.042,0.042,0.039,0.038
0.051,0.045,0.044,0.043,0.045,0.042,0.043,0.036,0.051,0.038,0.047,0.04
0.047,0.043,0.045,0.042,0.038,0.038,0.037,0.043,0.044,0.039,0.053,0.05
0.052,0.044,0.041,0.039,0.044,0.041,0.037,0.047,0.052,0.049,0.038,0.062
,,,,,,,,,,,
0.042,0.042,0.042,0.039,0.043,0.04,0.041,0.04,0.038,0.04,0.044,0.041
0.05,0.065,0.04,0.037,0.044,0.064,0.039,0.04,0.042,0.065,0.041,0.038
0.04,0.042,0.042,0.036,0.041,0.04,0.043,0.04,0.041,0.039,0.043,0.041
0.041,0.039,0.039,0.039,0.041,0.039,0.039,0.04,0.042,0.041,0.041,0.039
0.045,0.04,0.038,0.037,0.045,0.04,0.039,0.038,0.045,0.04,0.043,0.04
0.045,0.04,0.04,0.041,0.046,0.041,0.039,0.039,0.046,0.04,0.042,0.04
0.04,0.04,0.044,0.04,0.04,0.04,0.044,0.041,0.041,0.04,0.045,0.041
0.039,0.041,0.041,0.042,0.041,0.045,0.043,0.041,0.041,0.043,0.041,0.041
,,,,,,,,,,,
0.079,0.042,0.044,0.044,0.044,0.046,0.043,0.043,0.045,0.044,0.045,0.046
0.043,0.071,0.042,0.042,0.047,0.072,0.044,0.042,0.044,0.068,0.042,0.043
0.04,0.042,0.049,0.039,0.042,0.046,0.043,0.041,0.041,0.041,0.041,0.039
0.042,0.041,0.041,0.039,0.042,0.037,0.039,0.042,0.043,0.04,0.039,0.042
0.045,0.038,0.047,0.038,0.044,0.041,0.038,0.038,0.048,0.038,0.041,0.041
0.044,0.044,0.038,0.036,0.042,0.037,0.038,0.037,0.046,0.043,0.049,0.04
0.05,0.041,0.042,0.052,0.04,0.039,0.042,0.056,0.039,0.039,0.043,0.043
0.046,0.039,0.042,0.043,0.038,0.042,0.04,0.043,0.036,0.042,0.037,0.046
,,,,,,,,,,,
0.04,0.041,0.041,0.04,0.041,0.04,0.044,0.043,0.044,0.044,0.04,0.045
0.04,0.07,0.039,0.041,0.05,0.065,0.041,0.042,0.044,0.063,0.04,0.037
0.038,0.04,0.041,0.036,0.039,0.04,0.038,0.038,0.039,0.035,0.038,0.034
0.041,0.043,0.037,0.038,0.041,0.034,0.038,0.04,0.041,0.039,0.038,0.042
0.043,0.036,0.046,0.037,0.046,0.039,0.038,0.042,0.048,0.04,0.043,0.051
0.043,0.036,0.036,0.036,0.045,0.037,0.037,0.04,0.045,0.04,0.037,0.04
0.045,0.037,0.043,0.039,0.075,0.062,0.041,0.043,0.038,0.041,0.041,0.041
0.047,0.038,0.036,0.042,0.087,0.055,0.038,0.039,0.038,0.037,0.036,0.041
,,,,,,,,,,,
0.038,0.039,0.044,0.041,0.048,0.041,0.04,0.044,0.042,0.04,0.043,0.041
0.04,0.067,0.039,0.041,0.044,0.064,0.041,0.042,0.045,0.062,0.042,0.036
0.039,0.037,0.044,0.035,0.04,0.042,0.041,0.038,0.04,0.035,0.043,0.036
0.041,0.038,0.037,0.039,0.041,0.035,0.037,0.04,0.042,0.04,0.039,0.034
0.043,0.036,0.037,0.04,0.044,0.038,0.038,0.038,0.046,0.04,0.038,0.036
0.044,0.037,0.037,0.037,0.043,0.036,0.036,0.04,0.044,0.038,0.037,0.037
0.037,0.035,0.043,0.041,0.039,0.039,0.04,0.041,0.038,0.037,0.046,0.04
0.039,0.041,0.036,0.042,0.038,0.039,0.037,0.039,0.037,0.035,0.039,0.04
,,,,,,,,,,,
0.048,0.04,0.043,0.04,0.043,0.041,0.04,0.042,0.043,0.041,0.039,0.048
0.045,0.069,0.049,0.047,0.047,0.067,0.041,0.042,0.05,0.063,0.04,0.039
0.041,0.041,0.046,0.046,0.042,0.041,0.039,0.038,0.041,0.035,0.042,0.035
0.041,0.037,0.038,0.037,0.044,0.035,0.039,0.04,0.043,0.038,0.038,0.036
0.048,0.037,0.038,0.037,0.045,0.038,0.038,0.038,0.049,0.043,0.038,0.041
0.044,0.036,0.037,0.038,0.042,0.038,0.038,0.038,0.046,0.045,0.039,0.042
0.041,0.037,0.044,0.041,0.039,0.038,0.041,0.045,0.037,0.04,0.044,0.045
0.039,0.04,0.038,0.045,0.037,0.04,0.038,0.037,0.039,0.045,0.039,0.04
,,,,,,,,,,,
0.039,0.039,0.04,0.036,0.044,0.038,0.045,0.039,0.04,0.036,0.037,0.037
0.038,0.063,0.036,0.037,0.041,0.061,0.038,0.037,0.04,0.062,0.04,0.035
